"Entry"	"Protein"	"Protein.names"	"Gene.names"	"Mito"	"GroupReg"	"PADPvalue"	"ModelPvalue"	"PADAdjPval"	"Genenames"	"Anno"	"AgingAnno"	"Gene"	"MitoDetails"	"non-PAD_MD1061_1.18"	"non-PAD_MD1098_1.23"	"non-PAD_MD1121_1.27"	"non-PAD_MD1145_1.22"	"non-PAD_MD1157 _1.33"	"non-PAD_MD1162 _1.14"	"non-PAD_MD1166_1.11"	"non-PAD_MD1176 _1.32"	"non-PAD_MD1178 _1.25"	"non-PAD_MD1181_1.07"	"non-PAD_MD1201 _1.16"	"non-PAD_MD1238 _1.31"	"non-PAD_MD1245_1.2"	"non-PAD_MD1252 _1.09"	"non-PAD_MD1335_1.09"	"non-PAD_MD1353 _1.22"	"non-PAD_MD1369_1.28"	"non-PAD_MD1371_1.12"	"non-PAD_MD1374_1.27"	"non-PAD_MD1427_1.27"	"non-PAD_MD1429_1.28"	"non-PAD_MD1441_1.28"	"non-PAD_MD1443_1.23"	"non-PAD_MD1458_1.22"	"non-PAD_MD1595_1.07"	"non-PAD_MD1607_1.28"	"non-PAD_MD1614_1.2"	"non-PAD_MD1644_1.17"	"PAD_C10181_0.4"	"PAD_C10328_0.6"	"PAD_L10184 _0.81"	"PAD_L11041 _0.54"	"PAD_L11917 _0.92"	"PAD_L15083_0.87"	"PAD_L15258_0.71"	"PAD_L15657_0.84"	"PAD_L15845_0.59"	"PAD_L16378_0.54"	"PAD_L16890_0.97"	"PAD_L17372_0.81"	"PAD_L18347 _0.47"	"PAD_M1608_0.72"	"PAD_M1623_0.88"	"PAD_MD1320 _0.51"	"PAD_P237981_0.75"	"PAD_P271390_0.76"	"PAD_P275131_0.42"	"PAD_P275191_0.76"	"PAD_P291480_0.55"	"PAD_P319287 _0.96"	"PAD_P546291_0.75"	"PAD_R34342_0.52"	"PAD_R47935_0.74"	"PAD_R70797_0.6"	"PAD_R75233_0.45"	"PAD_T10608_0.57"	"PAD_T11097_0.82"	"PAD_T14186_0.45"	"PAD_T16115_0.97"
"MT-CO1"	"P00395"	"COX1_HUMAN"	"Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide I)"	"MT-CO1 COI COXI MTCO1"	TRUE	0.313970386	0.002720585	0.010570773	0.204614762	"MT-CO1 COI COXI MTCO1"	"Respiratory chain"	"Mitochondrion"	"MT-CO1"	"Complex IV"	-1.242089827	-0.002482675	-0.15104828	-0.322887418	-0.679528565	-0.141518376	0.307442175	0.345788776	0.330787955	0.233489333	0.374477832	-0.209706359	-0.196836713	-0.102416988	-0.508477284	-0.340602476	-0.272959312	0.106379461	-0.073530707	0.518603785	-0.015917473	0.091388052	-0.057522427	-1.412458157	-0.060087798	-0.028554687	0.034548446	-0.083325733	0.282686758	-0.053907674	0.70319057	-0.233039378	0.146533231	-0.084827247	0.06777638	-0.009696162	0.109405228	0.192893782	0.252295377	0.023474857	-0.140709429	0.065895782	0.55346558	0.050604734	0.068033819	-0.162576212	-0.230351949	0.314264845	0.281825473	0.405703438	0.022706999	-0.632278374	0.031987415	0.022909859	0.728314311	-0.036718952	0.280304629	-0.485423324	-0.102624636
"COX11"	"Q9Y6N1"	"COX11_HUMAN"	"Cytochrome c oxidase assembly protein COX11, mitochondrial"	"COX11"	TRUE	0.081522523	0.075266047	0.002505442	0.468926339	"COX11"	"Respiratory chain"	"Mitochondrion"	"COX11"	"Assembly Complex"	-0.027006711	0.1407811	-0.01207565	-0.061994941	-0.1896809	-0.110912757	0.009366677	0.355282	0.176361905	0.2748565	-0.1212242	0.019898266	0.06242401	-0.1174494	-0.1288291	-0.2654172	-0.3818057	0.191062612	0.2002134	0.5661089	-0.1628056	0.1495617	-0.132934075	-0.086776134	0.0474025	0.081717723	0.1218384	-0.183076515	0.2009945	0.09959535	0.196214524	-0.2148778	-0.06401859	-0.08494396	0.1262536	-0.1452424	-0.05135006	0.1246274	0.114888153	-0.005962223	-0.07177292	0.3241298	0.2375213	0.01889803	0.06433767	-0.06242401	-0.323496167	0.049077586	0.128503492	-0.06040986	0.05999054	-0.002964745	-0.1317507	0.012855064	0.049391338	-0.04000317	0.3367793	-0.210650335	-0.02122781
"COX17"	"Q14061"	"COX17_HUMAN"	"Cytochrome c oxidase copper chaperone"	"COX17"	TRUE	0.24110011	0.245960175	0.270855336	0.682549952	"COX17"	"Respiratory chain"	"Proteostasis"	"COX17"	"Assembly Complex"	NA	-0.2423166	0.196125	NA	-0.337314	NA	NA	-0.09545442	NA	-0.9082409	-0.03913007	NA	0.337314	NA	-0.5327144	-0.02567923	NA	NA	0.06570978	0.7087085	-0.1583764	-1.411764	NA	NA	NA	NA	0.5080124	NA	NA	0.1654773	NA	0.01931101	1.012356	NA	NA	0.4651762	NA	0.3675322	NA	NA	-0.3403187	-0.5806378	0.7621083	NA	NA	0.3781511	NA	NA	NA	0.000462312	-0.1917507	NA	0.09220613	NA	NA	-0.1159645	0.1037746	NA	-0.3352015
"COX19"	"Q49B96"	"COX19_HUMAN"	"Cytochrome c oxidase assembly protein COX19 (hCOX19)"	"COX19"	TRUE	0.038020929	0.733876877	0.138098526	0.935740254	"COX19"	"Respiratory chain"	"Mitochondrion"	"COX19"	"Assembly Complex"	NA	0.1402769	NA	NA	NA	NA	0.2509364	0.2515817	NA	NA	NA	NA	NA	-0.008206071	NA	-0.08955839	-0.3385798	NA	NA	0.5964931	-0.05878171	NA	NA	NA	-0.0970427	NA	NA	NA	-0.01480226	0.04906736	NA	-0.04931815	NA	-0.1151788	0.008206071	NA	0.1178439	NA	NA	NA	-0.04262854	NA	NA	NA	0.07983565	NA	NA	NA	NA	NA	NA	-0.4753317	-0.04906736	NA	NA	NA	0.3515759	NA	NA
"MT-CO2"	"P00403"	"COX2_HUMAN"	"Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide II)"	"MT-CO2 COII COX2 COXII MTCO2"	TRUE	0.153359583	0.014942199	0.004354064	0.281160613	"MT-CO2 COII COXII MTCO2"	"Respiratory chain"	"Mitochondrion"	"MT-CO2"	"Complex IV"	0.118398377	0.042778672	-0.075968113	-0.181421106	-0.57305039	-0.036186011	0.205999282	0.246274164	0.271864019	0.177169037	0.215390671	-0.212831254	-0.223427364	-0.12477027	-0.359791319	-0.383084005	-0.142742133	0.262287059	-0.011804724	0.652110254	-0.043001904	0.199278329	-0.172018563	-0.229856408	-0.10242356	0.002619122	0.051297931	-0.235618549	0.355409401	-0.05691021	0.479261773	-0.269515427	-0.031846283	-0.149264934	0.046219185	0.109555822	0.10273835	0.233402243	0.292011737	-0.117277249	-0.138452649	0.126938942	0.39596551	-0.178460907	0.074738192	-0.115862958	-0.105366816	0.14594873	0.152479402	0.083624396	-0.031055031	-0.422020585	0.06641561	0.039004867	0.259005339	-0.070769115	0.303945532	-0.430669735	-0.051490401
"COX20"	"Q5RI15"	"COX20_HUMAN"	"Cytochrome c oxidase assembly protein COX20, mitochondrial"	"COX20 FAM36A"	TRUE	-0.057899536	0.606806861	0.26709063	0.894092869	"COX20 FAM36A"	"Respiratory chain"	"Mitochondrion"	"COX20"	"Assembly Complex"	NA	0.2137702	-0.0757471	NA	-0.07889543	NA	NA	0.2984433	NA	0.6120277	0.3498735	NA	-0.2091586	NA	-0.003625524	-0.4160589	NA	NA	0.4858474	0.504998	-0.1019906	-0.2035303	NA	NA	NA	NA	0.04835283	NA	NA	-0.1499246	NA	-0.2576704	0.1227587	NA	NA	0.5343792	NA	-0.1753676	NA	NA	-0.02704565	-0.4039319	0.280007	NA	NA	0.2034028	NA	NA	NA	-0.1118382	0.04635957	NA	0.1528134	NA	NA	-0.1376365	0.08838389	NA	-0.06972017
"COX4I1"	"P13073"	"COX41_HUMAN"	"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial (Cytochrome c oxidase polypeptide IV) (Cytochrome c oxidase subunit IV isoform 1) (COX IV-1)"	"COX4I1 COX4"	TRUE	0.218083169	0.002034284	0.00979419	0.204614762	"COX4I1 COX4"	"Respiratory chain"	"Mitochondrion"	"COX4I1"	"Complex IV"	0.202551936	-0.008104791	-0.248522085	-0.273712288	-0.802710629	0.028235366	0.020495746	0.095583745	0.01820513	0.314997557	0.350524986	-0.118071155	-0.124881524	-0.144834596	-0.474537886	-0.257262933	-0.231551293	0.216467888	-0.157830342	0.66996374	0.033465504	-0.051372141	-0.208845276	-0.483709012	-0.043314411	-0.031885397	-0.061836669	-0.050538989	0.119735747	-0.018553465	0.571482984	-0.212584765	0.169061069	-0.240928727	0.153674576	0.28108519	0.168657958	0.228058123	0.490763504	0.080150344	-0.096684317	-0.014220903	0.157903576	0.003740247	0.069197611	-0.018376707	-0.229729541	0.041146053	-0.001135365	0.278667869	0.02423012	0.028978989	0.008590566	-0.004649738	0.3690924	0.028766211	0.202906249	-0.504658111	-0.011283339
"COX6C"	"P09669"	"COX6C_HUMAN"	"Cytochrome c oxidase subunit 6C (Cytochrome c oxidase polypeptide VIc)"	"COX6C"	TRUE	0.227078542	0.003173727	0.013584689	0.204614762	"COX6C"	"Respiratory chain"	"Mitochondrion"	"COX6C"	"Complex IV"	0.29142098	-0.02250344	-0.34701402	-0.18052915	-0.53217558	0.02302486	-0.03679543	-0.19001543	0.05408992	0.30740656	0.58435612	-0.26431185	-0.16089135	-0.2944078	-0.36315453	-0.40737112	-0.5274585	0.18074033	-0.32294136	0.89514325	0.02743124	-0.08081264	-0.19739818	-0.23532471	-0.06749823	-0.02646362	-0.03271759	-0.06542586	0.2127685	0.07967698	0.19046052	-0.32503671	0.01798818	-0.1812534	0.1848959	0.11432153	0.244267	0.22989712	0.35046979	0.22892177	-0.03637124	0.0269338	0.14439105	0.01724159	0.1265904	0.03725079	-0.14115108	0.08937591	-0.07619309	0.39183109	-0.01609353	0.02321738	0.23272057	-0.0161207	0.4465759	0.10045616	0.03043366	-0.76129426	0.02204
"COX7C"	"P15954"	"COX7C_HUMAN"	"Cytochrome c oxidase subunit 7C, mitochondrial (Cytochrome c oxidase polypeptide VIIc)"	"COX7C"	TRUE	0.070111126	0.290830393	0.146430464	0.719117156	"COX7C"	"Respiratory chain"	"Mitochondrion"	"COX7C"	"Complex IV"	0.275284344	0.2086546	-0.001897371	-0.068816739	-0.4102074	-0.028325475	0.1710727	0.6247508	0.277100467	0.04751759	0.1370355	-0.186218402	-0.2187663	-0.3309489	-0.1909197	-0.2771975	-0.2613193	-0.013398212	-0.1015237	0.6902669	-0.00527653	0.3142317	-0.075839466	-0.218450419	-0.08673103	-0.097377276	-0.007454733	-0.114036547	0.2959553	-0.2076199	0.160928338	-0.2680208	0.1480866	-0.2368877	0.09320648	-0.01109511	0.06308957	0.128714	0.231221601	-0.011523054	-0.1943332	0.04654657	0.1394341	0.050508958	0.1178526	-0.1026513	-0.164244725	0.072522594	0.121235195	-0.07218414	-0.04543023	-0.6295362	0.00527653	0.120917529	0.081020397	-0.01278455	0.5954483	-0.208798587	0.007454733
"COX7A2L"	"O14548"	"COX7R_HUMAN"	"Cytochrome c oxidase subunit 7A-related protein, mitochondrial (COX7a-related protein) (Cytochrome c oxidase subunit VIIa-related protein) (EB1)"	"COX7A2L COX7AR COX7RP"	TRUE	0.277120954	0.001922116	0.000809019	0.204614762	"COX7A2L COX7AR COX7RP"	"Respiratory chain"	"Mitochondrion"	"COX7A2L"	"Complex IV"	0.1261918	0.05961809	-0.2962127	-0.2330023	-0.6931416	0.06144122	-0.05927061	0.2710395	0.08859516	0.4282133	0.08760922	-0.01135883	-0.4471149	0.0425548	-0.6678372	-0.3184001	-0.3660606	0.2050935	-0.1430553	1.408213	-0.08936397	-0.06931376	-0.274408	-0.09121017	-0.2427211	-0.161325	0.2443271	-0.138409	0.5675504	-0.174764	0.3692808	-0.1477431	-0.1083005	-0.0425548	0.2163857	0.07160641	0.3279633	0.3274516	0.4482247	-0.0210119	-0.08463892	0.1796568	0.5837803	-0.08420429	0.4544539	0.2476753	-0.1187612	0.05371066	0.4517366	0.2991953	-0.3256673	-0.4026893	0.09919713	-0.05076155	0.08948987	0.0468512	0.3971546	-0.2062574	-0.3955462
"COX6B1"	"P14854"	"CX6B1_HUMAN"	"Cytochrome c oxidase subunit 6B1 (Cytochrome c oxidase subunit VIb isoform 1) (COX VIb-1)"	"COX6B1 COX6B"	TRUE	0.144543882	0.027206802	0.233717996	0.329608845	"COX6B1 COX6B"	"Respiratory chain"	"Mitochondrion"	"COX6B1"	"Complex IV"	0.318043263	0.235480662	0.04363842	-0.167295646	-0.320326081	-0.108546435	0.254033622	0.208395129	0.261372682	-0.164757581	-0.036100514	-0.137189212	-0.090627509	-0.079129127	-0.010126078	-0.178593061	-0.229831035	-0.305310724	-0.15767244	0.025275801	-0.195435588	0.066752705	-0.091172521	-0.312319634	-0.013094305	0.255092473	0.103734865	-0.030567527	-0.005578959	-0.043517426	0.547803844	-0.117875416	0.321757126	0.057740803	-0.010359754	0.180973561	-0.083707966	0.229827787	0.011346058	0.008107324	-0.145243013	-0.01493434	0.57073145	0.290066401	0.087732653	-0.110199613	-0.146944685	-0.072079779	0.048165453	0.54375766	0.041350292	0.018202208	0.094690285	0.168455477	0.369417367	-0.050711363	0.49625249	-0.445643312	-0.313152846
"COX7A1"	"P24310"	"CX7A1_HUMAN"	"Cytochrome c oxidase subunit 7A1, mitochondrial (Cytochrome c oxidase subunit VIIa-heart) (Cytochrome c oxidase subunit VIIa-H) (Cytochrome c oxidase subunit VIIa-muscle) (Cytochrome c oxidase subunit VIIa-M)"	"COX7A1 COX7AH"	TRUE	0.170413477	0.151467147	0.044260384	0.579478667	"COX7A1 COX7AH"	"Respiratory chain"	"Mitochondrion"	"COX7A1"	"Complex IV"	0.433670328	0.383236672	-0.1804273	-0.4424924	-0.9627618	-0.4595161	0.5844607	0.662856379	0.441120185	0.1119199	0.233688	-0.624637764	-0.1153508	0.02408982	-0.8824263	-0.373475461	0.004958843	0.07849163	0.1262683	0.409368795	0.014616595	0.8734688	-0.219458539	-0.5763503	-0.452	0.04017047	0.3444099	-0.406209047	0.7464719	-0.420736205	0.2778376	-0.141764404	0.1165179	-0.2777918	0.3856531	-0.1431332	-0.07711295	0.6172496	0.0165234	-0.3719278	-0.300660717	0.4635129	0.7622696	-0.0165234	0.000398038	-0.5076636	-0.2102985	0.179749815	0.277489795	0.0480282	-0.0480282	-0.8216407	-0.019642928	0.07468077	0.317115742	-0.5753614	0.586483406	-0.521374255	-0.4431866
"CYC1"	"P08574"	"CY1_HUMAN"	"Cytochrome c1, heme protein, mitochondrial (EC 7.1.1.8) (Complex III subunit 4) (Complex III subunit IV) (Cytochrome b-c1 complex subunit 4) (Ubiquinol-cytochrome-c reductase complex cytochrome c1 subunit) (Cytochrome c-1)"	"CYC1"	TRUE	0.157711036	0.008725988	0.004160013	0.249526094	"CYC1"	"Respiratory chain"	"Mitochondrion"	"CYC1"	"Complex III"	0.161633179	0.097210136	0.027177249	-0.359317839	-0.695883653	-0.040334347	0.142737585	0.186415466	0.354296878	0.239242366	0.169503387	-0.107573957	-0.123551169	0.004755875	-0.387840248	-0.367843654	-0.007771099	0.199450172	-0.033892762	0.525471025	-0.020963022	-0.006772774	-0.242433922	-0.24933581	-0.149530231	0.006681455	0.061258033	-0.233660065	0.20070513	-0.035846519	0.549953041	-0.21851713	0.107462727	-0.272261261	0.02636734	0.165738145	-0.010997061	0.144190968	0.415007586	0.001574107	-0.171176467	0.032630457	0.357457721	-0.018172563	0.031390774	-0.060718645	-0.106660216	0.094333699	-0.003904338	0.094243204	-0.021221994	-0.082313016	0.003411544	-0.027860956	0.281782708	-0.104324112	0.19736457	-0.309344058	-0.163008426
"ECSIT"	"Q9BQ95"	"ECSIT_HUMAN"	"Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial (Protein SITPEC)"	"ECSIT"	TRUE	0.051808661	0.261418232	0.000276014	0.693123131	"ECSIT"	"Respiratory chain"	"Mitochondrion"	"ECSIT"	"Assembly Complex"	0.1338252	0.1917866	-0.0120138	-0.1229772	-0.1093909	0.04395584	-0.01749844	-0.04013273	0.3850894	0.5746749	0.07753244	0.02566463	-0.01582912	0.05183803	-0.03868496	-0.3068558	-0.2137102	0.4891498	-0.003928271	0.2307509	-0.1094044	0.1744661	-0.1261318	-0.1042112	-0.05201977	-0.2021081	0.1160665	-0.0616677	0.09742516	-0.02314016	0.1834226	-0.3329475	-0.007971285	-0.2517689	0.005334322	0.03819185	0.1091819	0.007971285	0.3029797	-0.1865097	-0.004473853	0.04119323	0.3911888	-0.116465	-0.04194991	-0.2276671	0.1425674	-0.01563548	-0.017669	-0.02444462	-0.03260203	0.0137179	0.1264913	0.02335283	0.017669	-0.1584088	0.1811927	-0.07404388	-0.4415879
"FOXRED1"	"Q96CU9"	"FXRD1_HUMAN"	"FAD-dependent oxidoreductase domain-containing protein 1 (EC 1.-.-.-)"	"FOXRED1 FP634"	TRUE	-0.023865246	0.730612301	0.132926826	0.934688228	"FOXRED1 FP634"	"Respiratory chain"	"Mitochondrion"	"FOXRED1"	"Assembly Complex"	0.3245935	0.1391527	-0.03022012	NA	-0.01272607	NA	0.3989656	0.4183256	0.6260626	0.2709286	0.3904651	-0.09160719	-0.1842822	0.005831406	-0.09462014	-0.09855761	0.2371019	NA	0.1320777	0.3045493	-0.09120156	-0.0869548	-0.1405076	NA	-0.1419942	NA	0.1078263	-0.299646	0.5890502	-0.0503278	NA	-0.08130664	-0.1089298	-0.1940057	0.134518	0.003257367	-0.203927	0.1185841	NA	-0.1889391	-0.1095886	-0.003257367	0.4471539	NA	-0.1292722	0.05989075	NA	0.2378977	0.3299643	-0.2186412	0.04557541	-0.005831406	0.06836721	NA	0.000170372	-0.1784047	0.3454456	-0.07434562	-0.131565
"NDUFA2"	"O43678"	"NDUA2_HUMAN"	"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 (Complex I-B8) (CI-B8) (NADH-ubiquinone oxidoreductase B8 subunit)"	"NDUFA2"	TRUE	0.164915022	0.010444078	0.019473333	0.259013138	"NDUFA2"	"Respiratory chain"	"Mitochondrion"	"NDUFA2"	"Complex I"	0.256064619	-0.032903629	-0.09764796	-0.12682173	-0.4295416	0.049659398	0.2094096	0.148402602	0.29260077	0.1507687	0.4048696	-0.185424619	-0.322843	-0.07255314	-0.2402161	-0.404534115	-0.4309164	0.192235569	-0.2679643	0.459566254	-0.021581661	0.000657861	-0.211719879	-0.112617889	-0.01840923	-0.132351842	-0.003936588	-0.172619365	0.03802914	0.032903629	0.508351513	-0.286551018	0.1600579	-0.191652	0.1115118	0.4008844	0.09907357	0.02640549	0.142538477	0.141795148	-0.17793573	0.003662971	0.2862779	-0.070121317	0.06061208	-0.205605	-0.174807258	0.033630812	-0.012371509	0.3114986	0.0662638	-0.06073497	0.123800041	0.016835615	0.422564852	0.05172257	0.316066905	-0.535420491	-0.1450812
"NDUFA3"	"O95167"	"NDUA3_HUMAN"	"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3 (Complex I-B9) (CI-B9) (NADH-ubiquinone oxidoreductase B9 subunit)"	"NDUFA3"	TRUE	0.223867305	0.004616933	0.026175622	0.227953095	"NDUFA3"	"Respiratory chain"	"Mitochondrion"	"NDUFA3"	"Complex I"	0.190634165	-0.099095047	-0.04395702	-0.056458125	-0.8936378	0.058525994	0.1239658	0.109402175	0.155219107	0.122413	0.3899317	-0.008141132	-0.4478912	-0.01792431	-0.4607826	-0.550455423	-0.4085125	0.067406381	-0.1287179	0.648050197	-0.193298577	0.0784173	-0.229327669	-0.082398276	-0.017108	-0.172466087	0.02194149	-0.093655635	0.02289991	0.191810206	0.474404811	-0.397368745	0.2685515	-0.2501253	-0.005510868	0.6124428	0.1869511	0.1552829	0.146562615	0.219518017	-0.146447676	-0.008496665	0.3179313	0.012808316	0.1438613	-0.3469348	-0.091912814	-0.045618551	-0.184283499	0.165246	-0.02242712	0.1233934	0.290316749	-0.002296437	0.478883907	0.04821551	0.386954782	-0.379204057	-0.1692846
"NDUFA5"	"Q16718"	"NDUA5_HUMAN"	"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 (Complex I subunit B13) (Complex I-13kD-B) (CI-13kD-B) (NADH-ubiquinone oxidoreductase 13 kDa-B subunit)"	"NDUFA5"	TRUE	0.127189596	0.009831175	0.007237548	0.251709913	"NDUFA5"	"Respiratory chain"	"Mitochondrion"	"NDUFA5"	"Complex I"	0.171154792	0.080045632	-0.086348376	-0.074720753	-0.499243383	-0.002264417	0.184679707	0.051435993	0.224199959	0.098638353	0.170676534	-0.122322713	-0.2008946	-0.022162889	-0.281611837	-0.363225394	-0.242250952	0.156644789	-0.05210308	0.362929764	-0.075857017	0.149512982	-0.169795633	-0.052305773	-0.05236887	-0.106321611	0.029050063	-0.230309416	0.073972614	-0.021821248	0.334407215	-0.297171673	0.083195287	-0.203304335	0.036382018	0.20087357	-0.006785532	0.041638292	0.122093516	0.04189941	-0.158549061	0.033302812	0.21691824	-0.005545095	0.091169964	-0.172714159	-0.133502811	0.071139301	-0.028308638	0.133760657	-0.008854121	0.219285921	0.119705072	-0.004941672	0.263247443	0.025890458	0.299435	-0.413849138	-0.09370553
"NDUFA6"	"P56556"	"NDUA6_HUMAN"	"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 (Complex I-B14) (CI-B14) (LYR motif-containing protein 6) (NADH-ubiquinone oxidoreductase B14 subunit)"	"NDUFA6 LYRM6 NADHB14"	TRUE	0.115933282	0.072938252	0.046467137	0.468926339	"NDUFA6 LYRM6 NADHB14"	"Respiratory chain"	"Mitochondrion"	"NDUFA6"	"Complex I"	0.288570646	-0.018258626	-0.091641255	-0.066834328	-0.5519571	0.111270979	0.3302136	0.17829614	0.304926129	0.1397473	0.344351472	-0.269882431	-0.3047481	0.01541128	-0.2286357	-0.496980315	-0.1895227	0.237173506	-0.131268121	0.352897827	-0.021077946	0.07455065	-0.215521275	-0.119483822	-0.1106686	-0.11282005	0.043765582	-0.33497826	0.1505328	-0.021777179	0.380538532	-0.107896943	0.03184377	-0.2657734	0.08766559	0.2586299	-0.07257737	-0.00682015	0.206809608	0.023480629	-0.175966623	0.02660339	0.25521582	-0.020006942	0.103319	-0.2874369	-0.144940125	0.076334701	0.005062747	0.149609653	0.009300603	-0.3576631	0.049343707	-0.026222167	0.386553826	0.052610721	0.456844862	-0.533423205	-0.232450153
"NDUFA7"	"O95182"	"NDUA7_HUMAN"	"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7 (Complex I-B14.5a) (CI-B14.5a) (NADH-ubiquinone oxidoreductase subunit B14.5a)"	"NDUFA7"	TRUE	0.157969826	0.003021271	0.018946724	0.204614762	"NDUFA7"	"Respiratory chain"	"Mitochondrion"	"NDUFA7"	"Complex I"	0.171272505	-0.049433478	-0.18577001	-0.052856581	-0.533512559	0.056713304	0.03798391	-0.006273495	0.159691713	0.111137693	0.316480112	-0.065434908	-0.185069967	-0.1605988	-0.076067999	-0.365286988	-0.3077924	0.17989935	-0.120956991	0.380700699	-0.030144112	-0.035655841	-0.193881834	-0.125469225	-0.1509989	-0.192324202	-6.12e-05	-0.139207813	0.02480205	0.166450744	0.339417557	-0.27727946	0.15418163	-0.228395	0.06492581	0.346192736	0.01500036	0.051655648	0.145258844	0.092906274	-0.057387833	-0.005165622	0.249913142	-0.050065529	0.07531328	-0.152331871	-0.067378319	-0.016158926	-0.016916885	0.204124548	0.007638347	0.07447211	0.086958526	-0.045237764	0.348883568	0.098794609	0.198123451	-0.428708425	-0.098363467
"NDUFA8"	"P51970"	"NDUA8_HUMAN"	"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 (Complex I-19kD) (CI-19kD) (Complex I-PGIV) (CI-PGIV) (NADH-ubiquinone oxidoreductase 19 kDa subunit)"	"NDUFA8"	TRUE	0.112252834	0.004702647	0.048116426	0.227953095	"NDUFA8"	"Respiratory chain"	"Mitochondrion"	"NDUFA8"	"Complex I"	0.040075305	-0.007728316	-0.167095106	0.120484703	-0.244233266	0.154075309	-0.062628836	0.029733695	-0.001554435	0.083129261	0.212927564	0.004225305	-0.090540849	0.010346019	-0.066604027	-0.295352162	-0.369939139	-0.006865039	-0.274277734	0.307369168	-0.036091349	-0.037683232	-0.174192722	0.043385872	0.015215749	-0.154344576	-0.044652697	-0.008849573	-0.042902985	0.114718712	0.094060807	-0.187679424	0.141440958	-0.014645516	0.081340178	0.214325667	0.072592143	0.057290484	0.07424808	0.123809992	-0.113598002	-0.01913798	0.118999986	-0.102975404	0.04792937	-0.025262868	-0.029343412	-0.059854122	-0.077188353	0.236061066	-0.020050972	0.060229054	0.119208362	-0.01678848	0.3190707	0.151580828	0.219149241	-0.127828096	-0.040452338
"NDUFA9"	"Q16795"	"NDUA9_HUMAN"	"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial (Complex I-39kD) (CI-39kD) (NADH-ubiquinone oxidoreductase 39 kDa subunit)"	"NDUFA9 NDUFS2L"	TRUE	0.138653694	0.022372429	0.028683684	0.308915376	"NDUFA9 NDUFS2L"	"Respiratory chain"	"Mitochondrion"	"NDUFA9"	"Complex I"	0.192074735	0.00423478	-0.059709035	-0.240946204	-0.47589338	0.012599633	0.234741113	0.208051774	0.21242957	0.184180636	0.249677145	-0.160535193	-0.164320242	-0.049847055	-0.316471473	-0.450094403	-0.311097928	0.164393892	-0.100227507	0.44671851	-0.016697047	0.012773633	-0.196377162	-0.246570202	-0.12193021	-0.089589977	0.015991453	-0.237956335	0.136276723	-0.009716091	0.406141476	-0.322994904	0.128474388	-0.144047029	0.060080328	0.182158767	0.027824224	0.052355655	0.179282287	0.065737605	-0.182551936	0.039671172	0.246624958	0.033829831	0.089479797	-0.2388999	-0.150764484	0.037115425	-0.018206014	0.203680498	-0.008397947	-0.358748022	0.073704228	-0.008804153	0.410932522	0.017976431	0.291066894	-0.538252258	-0.186102728
"NDUFA10"	"O95299"	"NDUAA_HUMAN"	"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial (Complex I-42kD) (CI-42kD) (NADH-ubiquinone oxidoreductase 42 kDa subunit)"	"NDUFA10"	TRUE	0.164125775	0.009061657	0.018909716	0.249526094	"NDUFA10"	"Respiratory chain"	"Mitochondrion"	"NDUFA10"	"Complex I"	0.162094013	-0.000812856	-0.078667289	-0.175681964	-0.55231421	0.016927913	0.259102136	0.256954378	0.166417436	0.152301812	0.192629408	-0.113592881	-0.202430763	-0.004538116	-0.499833068	-0.649087958	-0.448788799	0.182295611	-0.101418218	0.432025717	-0.031900156	0.062965482	-0.114112117	-0.107509243	-0.057080473	-0.09072433	0.078127219	-0.193657824	0.181914333	0.033677507	0.3654041	-0.311680064	0.092155916	-0.16433256	0.019172505	0.217496136	0.084402449	0.131893474	0.199746428	0.069906289	-0.276215176	0.047651355	0.278839841	-0.003934304	0.024622256	-0.241649157	-0.123838426	0.052451255	0.003190854	0.136022505	0.001053016	-0.209704473	0.042051556	-0.005648545	0.413130961	0.011791536	0.377542977	-0.305937688	-0.171692026
